OBJ_ID,Permit number - API,Well Type,Well Status,Well_GIS_Status,County,Township,Company,Well_OP_Address,Well_CompanyPHONE,Elevation,DU_ACRES,Well_WH_LAT,Well_WH_LONG,Well Latitude,Well Longitude,Well_BH_LAT,Well_BH_LONG,Bottom Hole Latitude,Bottom Hole Longitude,Slant,Well_ProposedFormations,Well Name,Well Number,Well_IP_GAS,Well_IP_OIL,Well_Total_Depth,Well_Date_Approved,Well_Date_Complete,Well_Date_Plugged,Producing Formation,SecondProdFormation,DeepestFormation,Well_PDF_Link,GeoPhysLogs,Utica_Shale,Marcellus_Shale,MapSymble,Well_Well_Status,Well_Operator,Well_Lease_Name,Well_Location_ID,WELL_TYP,Well_CompanyADDR1,Well_CompanyADDR2,Well_CompanyCITY,Well_CompanyZIP1,Toe Longitude,Toe Latitude,Heel Longitude,Heel Latitude,OWPS Description,Last_Inspection_Date,Last_Nonzero_Production_Year,Last_Production_Quarter,Orphan Well Program Status,x,y
98569,3.40836E+13,Plugged gas,Plugged and Abandoned,Drilled,KNOX,PIKE,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,1261,160,40.49951077,-82.37023707,40.499573,-82.370122,NA,NA,0,0,V,NA,MILLER JULIA 1,1,176,NA,2698,NA,12/12/1921 0:00,12/10/1937 0:00,CLINTON SAND,NA,RED MEDINA,083\34083620480000.pdf,NA,0,0,pl_gas,PA,HISTORIC OWNER,MILLER JULIA,3.40836E+13,OG_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004624.983,910484.0303
230941,3.42E+13,Gas,Well Drilled,Drilled,WASHINGTON,NEWPORT,SHELLY MATERIALS INC.,"1771 HARMON AVENUE COLUMBUS, OH 43223",7402251505,NA,0,39.3465659,-81.3523313,39.346641,-81.352171,NA,NA,NA,NA,V,NA,SHELLY     1,1,NA,NA,150,6/22/2021 0:00,1/2/1900 0:00,NA,NA,NA,NA,nowellcard.htm,NA,0,0,gas,DR,SHELLY MATERIALS INC.,SHELLY,3.42E+13,OG_R,1771 HARMON AVENUE,NA,COLUMBUS,43223,NA,NA,NA,NA,NA,NA,NA,NA,NA,2293093.591,492530.8212
36229,3.40296E+13,Oil,Well Drilled,Drilled,COLUMBIANA,MIDDLETON,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,863,NA,40.78492306,-80.53839604,40.784986,-80.538187,NA,NA,0,0,V,NA,SUTHERIN MINERVA 3,3,NA,1,NA,NA,1/1/1926 0:00,NA,NA,NA,NA,029\34029621160000.pdf,NA,0,0,oil,DR,HISTORIC OWNER,SUTHERIN MINERVA,3.40296E+13,OG_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,2511867.364,1020363.025
182932,3.41276E+13,Plugged oil,Plugged and Abandoned,Drilled,PERRY,PIKE,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,880,NA,39.72602015,-82.21174657,39.726089,-82.211616,NA,NA,0,0,V,NA,MCGONAGLE RJ 1,1,NA,7,3226,NA,1/1/1928 0:00,6/28/1933 0:00,CLINTON SAND,NA,CLINTON SAND,127\34127633640000.pdf,NA,0,0,pl_oil,PA,HISTORIC OWNER,MCGONAGLE RJ,3.41276E+13,OG_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,2049612.53,628805.7147
176936,3.41272E+13,Plugged oil and gas,Final Restoration,Drilled,PERRY,JACKSON,GINGERICH MIKE,"10285 GREER ROAD MCCONNELSVILLE, OH 43756",7409622918,860,102,39.72922634,-82.25488917,39.729295,-82.25476,NA,NA,0,0,V,CLINTON,HOUSEHOLDER     1-A,1-A,250,5,3127,8/13/2002 0:00,5/30/1980 0:00,9/18/2002 0:00,CLINTON GROUP,NA,QUEENSTON FORMATION,127\34127247430000.pdf,Paper,0,0,pl_oil_gas,FR,GINGERICH MIKE,HOUSEHOLDER,3.41272E+13,OG_R,10285 GREER ROAD,NA,MCCONNELSVILLE,43756,NA,NA,NA,NA,NA,3/21/2003 0:00,1992,0/1995,NA,2037474.463,629937.6465
30230,3.40192E+13,Oil and gas,Producing,Producing,CARROLL,LOUDON,EAP OHIO LLC,"14701 Bogert Parkway   Oklahoma City, OK -2646",+1 (405) 968-3447,1240,519.4000244,40.44142186,-80.96969213,40.441487,-80.969507,40.4575503,-80.97951399,40.457615,-80.979329,H,UTICA/POINT PLEASANT,TUCKOSH 35-11-4     3H,3H,8904,33,14530,12/9/2013 0:00,1/12/2014 0:00,NA,POINT PLEASANT FORMATION,NA,POINT PLEASANT FORMATION,nowellcard.htm,NA,1,0,oil_gas,PR,EAP OHIO LLC,TUCKOSH 35-11-4,3.40192E+13,OG_R,14701 Bogert Parkway,NA,Oklahoma City,73134-2646,NA,NA,-80.968948,40.443283,NA,2/23/2023 0:00,2025,Apr-24,NA,2394538.221,892904.5763
204511,3.41552E+13,Plugged gas,Final Restoration,Drilled,TRUMBULL,FOWLER,ENERVEST OPERATING LLC,"300 CAPITOL STREET SUITE 200 CHARLESTON, WV 25301",3043435505,1054,40,41.32482324,-80.63841471,41.324879,-80.638213,NA,NA,0,0,V,CLINTON SAND,FABER     2,2,500,0,4790,1/8/2019 0:00,12/14/1979 0:00,12/1/2020 0:00,CLINTON SAND,NA,QUEENSTON FORMATION,155\34155213210000.pdf,Paper,0,0,pl_gas,FR,ENERVEST OPERATING LLC,FABER,3.41552E+13,OG_R,300 CAPITOL STREET SUITE 200,NA,CHARLESTON,25301,NA,NA,NA,NA,NA,5/26/2021 0:00,2003,0/2020,NA,2480109.937,1216518.318
188716,3.41332E+13,Expired permit,Permit Expired,NA,PORTAGE,WINDHAM,ENERVEST OPERATING LLC,"300 CAPITOL STREET SUITE 200 CHARLESTON, WV 25301",3043435505,1095,40,41.24177113,-81.08199344,41.241827,-81.081812,NA,NA,NA,NA,V,OHIO SHALE  THRU CLINTON,SHOWALTER UNIT     10,10,NA,NA,4700,10/29/2010 0:00,NA,NA,NA,NA,NA,nowellcard.htm,NA,0,0,ex_permit,EX,ENERVEST OPERATING LLC,SHOWALTER UNIT,3.41332E+13,OG_R,300 CAPITOL STREET SUITE 200,NA,CHARLESTON,25301,NA,NA,NA,NA,NA,NA,NA,NA,NA,2358698.186,1184031.88
63982,3.40636E+13,Oil,Unknown status,Unknown,HANCOCK,CASS,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,797,NA,41.12595198,-83.58899368,41.126005,-83.588924,NA,NA,0,0,V,NA,NA,NA,NA,NA,NA,NA,1/2/1900 0:00,NA,NA,NA,NA,nowellcard.htm,NA,0,0,oil,UN,HISTORIC OWNER,NA,3.40636E+13,UN_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,1668380.857,1140558.033
103194,3.40892E+13,Plugged oil and gas,Plugged and Abandoned,Drilled,LICKING,FALLSBURY,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,1125,130,40.18165595,-82.2549666,40.181724,-82.254836,NA,NA,0,0,V,NA,BOURNE SYLVIA 4,4,NA,100,3046,8/3/1962 9:23,8/25/1962 0:00,6/12/1969 0:00,CLINTON SAND,NA,CLINTON SAND,089\34089219540000.pdf,NA,0,0,pl_oil_gas,PA,HISTORIC OWNER,BOURNE SYLVIA,3.40892E+13,OG_R,"2045 Morse Rd., Bldg F-2",NA,COLUMBUS,43229,NA,NA,NA,NA,NA,NA,NA,NA,NA,2037005.619,794747.3661
208907,3.41572E+13,Expired permit,Permit Expired,NA,TUSCARAWAS,WASHINGTON,NORTH EAST NATURAL GAS CO,"***223 PEBBLE RD CARROLLTON, OH 44615",3304544620,1065,150,40.25064684,-81.46570984,40.250716,-81.465547,NA,NA,0,0,V,NA,ELMER MURPHY     # 1,1,0,0,0,2/28/1972 0:00,NA,NA,NA,NA,NA,157\34157215900000.pdf,NA,0,0,ex_permit,EX,NORTH EAST NATURAL GAS CO,MURPHY ELMER E,3.41572E+13,OG_R,***223 PEBBLE RD,NA,CARROLLTON,44615,NA,NA,NA,NA,NA,NA,NA,NA,NA,2257260.943,821443.2182
201502,3.41532E+13,Oil and gas,Producing,Producing,SUMMIT,FRANKLIN,Eco Power Crypto LLC,"4582 KINGWOOD DR  KINGWOOD, TX 77345",832-954-9711,1005,27,40.97629603,-81.56617851,40.976352,-81.566021,NA,NA,0,0,V,NA,FREDERICK UNIT # 1,1,200,2,4042,6/27/1984 0:00,12/27/1984 0:00,NA,CLINTON SAND,NA,QUEENSTON FORMATION,153\34153218880000.pdf,NA,0,0,oil_gas,PR,Eco Power Crypto LLC,FREDERICK UNIT,3.41532E+13,OG_R,4582 KINGWOOD DR,NA,KINGWOOD,77345,NA,NA,NA,NA,NA,4/26/2011 0:00,2018,0/2022,NA,2226480.465,1085536.446
21311,3.40112E+13,Plugged gas with oil show,Final Restoration,Drilled,AUGLAIZE,ST. MARYS,KOONS ISABELL,"217 GENINI  STREET SIDNEY, OH 45365",9374926342,894,0,40.48890617,-84.39762376,40.488953,-84.397575,NA,NA,NA,NA,V,TRENTON,KOONS     1,1,1,NA,1165,4/7/1999 0:00,7/29/1962 0:00,6/29/1999 0:00,TRENTON LIMESTONE,NA,TRENTON LIMESTONE,011\34011200250000.pdf,NA,0,0,pl_gas_oilshow,FR,KOONS ISABELL,KOONS,3.40112E+13,OG_R,217 GENINI  STREET,NA,SIDNEY,45365,NA,NA,NA,NA,NA,12/18/2002 0:00,NA,NA,NA,1440655.389,912134.9495
16913,3.40092E+13,Plugged oil and gas,Final Restoration,Drilled,ATHENS,TRIMBLE,SWINGLE DRILLING INC,"PO BOX 220 713 KEYSTONE ST 713 KEYSTONE ST CROOKSVILLE, OH 43731",7404698080,720,NA,39.53555048,-82.11012792,39.53562,-82.109995,NA,NA,0,0,V,NA,DRY DOCK COAL # 41,41,8,12,1022,9/7/1989 0:00,6/12/1956 0:00,10/13/1989 0:00,NA,NA,COAL - GENERIC,009\34009212350000.pdf,NA,0,0,pl_oil_gas,FR,SWINGLE DRILLING INC,CAMBRIAN MINING CO,3.40092E+13,OG_R,PO BOX 220 713 KEYSTONE ST,713 KEYSTONE ST,CROOKSVILLE,43731,NA,NA,NA,NA,NA,NA,NA,NA,NA,2078494.523,559536.7174
