OBJ_ID,Permit number - API,Well Type,Well Status,Well_GIS_Status,County,Township,Company,Well_OP_Address,Well_CompanyPHONE,Elevation,DU_ACRES,Well_WH_LAT,Well_WH_LONG,Well Latitude,Well Longitude,Well_BH_LAT,Well_BH_LONG,Bottom Hole Latitude,Bottom Hole Longitude,Slant,Well_ProposedFormations,Well Name,Well Number,Well_IP_GAS,Well_IP_OIL,Well_Total_Depth,Well_Date_Approved,Well_Date_Complete,Well_Date_Plugged,Producing Formation,SecondProdFormation,DeepestFormation,Well_PDF_Link,GeoPhysLogs,Utica_Shale,Marcellus_Shale,MapSymble,Well_Well_Status,Well_Operator,Well_Lease_Name,Well_Location_ID,WELL_TYP,Well_CompanyADDR1,Well_CompanyADDR2,Well_CompanyCITY,Well_CompanyZIP1,Heel Longitude,Heel Latitude,Last_Inspection_Date,Last_Nonzero_Production_Year,Last_Production_Quarter,Orphan Well Program Status,x,y,lat_rad,lon_rad,lat_delta,is_horizontal,years_since_approved,age_category,prod_change
98569,34083600000000.0,Plugged gas,Plugged and Abandoned,Drilled,KNOX,PIKE,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,1261.0,160.0,40.49951077,-82.37023707,40.499573,-82.370122,,,0.0,0.0,V,,MILLER JULIA 1,1,176.0,,2698.0,,1921-12-12,1937-12-10 00:00:00,CLINTON SAND,,RED MEDINA,083\34083620480000.pdf,,0,0,pl_gas,PA,HISTORIC OWNER,MILLER JULIA,34083600000000.0,OG_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,,,,,2004624.983,910484.0303,0.7068508945017974,-1.4376298341694167,40.499573,1,,,0.0
230941,34200000000000.0,Gas,Well Drilled,Drilled,WASHINGTON,NEWPORT,SHELLY MATERIALS INC.,"1771 HARMON AVENUE COLUMBUS, OH 43223",7402251505,,0.0,39.3465659,-81.3523313,39.346641,-81.352171,,,,,V,,SHELLY     1,1,,,150.0,2021-06-22 00:00:00,1900-01-02,,,,,nowellcard.htm,,0,0,gas,DR,SHELLY MATERIALS INC.,SHELLY,34200000000000.0,OG_R,1771 HARMON AVENUE,,COLUMBUS,43223,,,,,,,2293093.591,492530.8212,0.6867284350501942,-1.4198632375954479,,0,4.0,0–5,0.0
36229,34029600000000.0,Oil,Well Drilled,Drilled,COLUMBIANA,MIDDLETON,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,863.0,,40.78492306,-80.53839604,40.784986,-80.538187,,,0.0,0.0,V,,SUTHERIN MINERVA 3,3,,1.0,,,1926-01-01,,,,,029\34029621160000.pdf,,0,0,oil,DR,HISTORIC OWNER,SUTHERIN MINERVA,34029600000000.0,OG_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,,,,,2511867.364,1020363.025,0.7118322910797921,-1.4056565367368943,40.784986,1,,,0.0
182932,34127600000000.0,Plugged oil,Plugged and Abandoned,Drilled,PERRY,PIKE,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,880.0,,39.72602015,-82.21174657,39.726089,-82.211616,,,0.0,0.0,V,,MCGONAGLE RJ 1,1,,7.0,3226.0,,1928-01-01,1933-06-28 00:00:00,CLINTON SAND,,CLINTON SAND,127\34127633640000.pdf,,0,0,pl_oil,PA,HISTORIC OWNER,MCGONAGLE RJ,34127600000000.0,OG_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,,,,,2049612.53,628805.7147,0.6933510519903017,-1.4348633825852506,39.726089,1,,,0.0
176936,34127200000000.0,Plugged oil and gas,Final Restoration,Drilled,PERRY,JACKSON,GINGERICH MIKE,"10285 GREER ROAD MCCONNELSVILLE, OH 43756",7409622918,860.0,102.0,39.72922634,-82.25488917,39.729295,-82.25476,,,0.0,0.0,V,CLINTON,HOUSEHOLDER     1-A,1-A,250.0,5.0,3127.0,2002-08-13 00:00:00,1980-05-30,2002-09-18 00:00:00,CLINTON GROUP,,QUEENSTON FORMATION,127\34127247430000.pdf,Paper,0,0,pl_oil_gas,FR,GINGERICH MIKE,HOUSEHOLDER,34127200000000.0,OG_R,10285 GREER ROAD,,MCCONNELSVILLE,43756,,,2003-03-21 00:00:00,1992.0,0/1995,,2037474.463,629937.6465,0.6934070072461206,-1.435616387437731,39.729295,1,23.0,21–40,0.0
30230,34019200000000.0,Oil and gas,Producing,Producing,CARROLL,LOUDON,EAP OHIO LLC,"14701 Bogert Parkway   Oklahoma City, OK -2646",+1 (405) 968-3447,1240.0,519.4000244,40.44142186,-80.96969213,40.441487,-80.969507,40.4575503,-80.97951399,40.457615,-80.979329,H,UTICA/POINT PLEASANT,TUCKOSH 35-11-4     3H,3H,8904.0,33.0,14530.0,2013-12-09 00:00:00,2014-01-12,,POINT PLEASANT FORMATION,,POINT PLEASANT FORMATION,nowellcard.htm,,1,0,oil_gas,PR,EAP OHIO LLC,TUCKOSH 35-11-4,34019200000000.0,OG_R,14701 Bogert Parkway,,Oklahoma City,73134-2646,-80.968948,40.443283,2023-02-23 00:00:00,2025.0,Apr-24,,2394538.221,892904.5763,0.7058371025524841,-1.4131844908665963,0.016127999999994813,1,12.0,11–20,33.0
204511,34155200000000.0,Plugged gas,Final Restoration,Drilled,TRUMBULL,FOWLER,ENERVEST OPERATING LLC,"300 CAPITOL STREET SUITE 200 CHARLESTON, WV 25301",3043435505,1054.0,40.0,41.32482324,-80.63841471,41.324879,-80.638213,,,0.0,0.0,V,CLINTON SAND,FABER     2,2,500.0,0.0,4790.0,2019-01-08 00:00:00,1979-12-14,2020-12-01 00:00:00,CLINTON SAND,,QUEENSTON FORMATION,155\34155213210000.pdf,Paper,0,0,pl_gas,FR,ENERVEST OPERATING LLC,FABER,34155200000000.0,OG_R,300 CAPITOL STREET SUITE 200,,CHARLESTON,25301,,,2021-05-26 00:00:00,2003.0,0/2020,,2480109.937,1216518.318,0.7212552015382618,-1.407402319774494,41.324879,1,6.0,6–10,-22.0
188716,34133200000000.0,Expired permit,Permit Expired,,PORTAGE,WINDHAM,ENERVEST OPERATING LLC,"300 CAPITOL STREET SUITE 200 CHARLESTON, WV 25301",3043435505,1095.0,40.0,41.24177113,-81.08199344,41.241827,-81.081812,,,,,V,OHIO SHALE  THRU CLINTON,SHOWALTER UNIT     10,10,,,4700.0,2010-10-29 00:00:00,,,,,,nowellcard.htm,,0,0,ex_permit,EX,ENERVEST OPERATING LLC,SHOWALTER UNIT,34133200000000.0,OG_R,300 CAPITOL STREET SUITE 200,,CHARLESTON,25301,,,,,,,2358698.186,1184031.88,0.7198056706878955,-1.4151445828830485,,0,15.0,11–20,0.0
63982,34063600000000.0,Oil,Unknown status,Unknown,HANCOCK,CASS,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,797.0,,41.12595198,-83.58899368,41.126005,-83.588924,,,0.0,0.0,V,,,,,,,,1900-01-02,,,,,nowellcard.htm,,0,0,oil,UN,HISTORIC OWNER,,34063600000000.0,UN_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,,,,,1668380.857,1140558.033,0.7177841954416505,-1.4589019419993088,41.126005,1,,,0.0
103194,34089200000000.0,Plugged oil and gas,Plugged and Abandoned,Drilled,LICKING,FALLSBURY,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,1125.0,130.0,40.18165595,-82.2549666,40.181724,-82.254836,,,0.0,0.0,V,,BOURNE SYLVIA 4,4,,100.0,3046.0,1962-08-03 09:23:00,1962-08-25,1969-06-12 00:00:00,CLINTON SAND,,CLINTON SAND,089\34089219540000.pdf,,0,0,pl_oil_gas,PA,HISTORIC OWNER,BOURNE SYLVIA,34089200000000.0,OG_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,,,,,2037005.619,794747.3661,0.7013033829276261,-1.4356177138879624,40.181724,1,63.0,40+,0.0
208907,34157200000000.0,Expired permit,Permit Expired,,TUSCARAWAS,WASHINGTON,NORTH EAST NATURAL GAS CO,"***223 PEBBLE RD CARROLLTON, OH 44615",3304544620,1065.0,150.0,40.25064684,-81.46570984,40.250716,-81.465547,,,0.0,0.0,V,,ELMER MURPHY     # 1,1,0.0,0.0,0.0,1972-02-28 00:00:00,,,,,,157\34157215900000.pdf,,0,0,ex_permit,EX,NORTH EAST NATURAL GAS CO,MURPHY ELMER E,34157200000000.0,OG_R,***223 PEBBLE RD,,CARROLLTON,44615,,,,,,,2257260.943,821443.2182,0.7025075204851619,-1.4218420220881889,40.250716,1,53.0,40+,0.0
201502,34153200000000.0,Oil and gas,Producing,Producing,SUMMIT,FRANKLIN,Eco Power Crypto LLC,"4582 KINGWOOD DR  KINGWOOD, TX 77345",832-954-9711,1005.0,27.0,40.97629603,-81.56617851,40.976352,-81.566021,,,0.0,0.0,V,,FREDERICK UNIT # 1,1,200.0,2.0,4042.0,1984-06-27 00:00:00,1984-12-27,,CLINTON SAND,,QUEENSTON FORMATION,153\34153218880000.pdf,,0,0,oil_gas,PR,Eco Power Crypto LLC,FREDERICK UNIT,34153200000000.0,OG_R,4582 KINGWOOD DR,,KINGWOOD,77345,,,2011-04-26 00:00:00,2018.0,0/2022,,2226480.465,1085536.446,0.7151722578561635,-1.4235956242008379,40.976352,1,41.0,40+,0.0
21311,34011200000000.0,Plugged gas with oil show,Final Restoration,Drilled,AUGLAIZE,ST. MARYS,KOONS ISABELL,"217 GENINI  STREET SIDNEY, OH 45365",9374926342,894.0,0.0,40.48890617,-84.39762376,40.488953,-84.397575,,,,,V,TRENTON,KOONS     1,1,1.0,,1165.0,1999-04-07 00:00:00,1962-07-29,1999-06-29 00:00:00,TRENTON LIMESTONE,,TRENTON LIMESTONE,011\34011200250000.pdf,,0,0,pl_gas_oilshow,FR,KOONS ISABELL,KOONS,34011200000000.0,OG_R,217 GENINI  STREET,,SIDNEY,45365,,,2002-12-18 00:00:00,,,,1440655.389,912134.9495,0.7066655405352357,-1.4730155644488534,,0,26.0,21–40,0.0
16913,34009200000000.0,Plugged oil and gas,Final Restoration,Drilled,ATHENS,TRIMBLE,SWINGLE DRILLING INC,"PO BOX 220 713 KEYSTONE ST 713 KEYSTONE ST CROOKSVILLE, OH 43731",7404698080,720.0,,39.53555048,-82.11012792,39.53562,-82.109995,,,0.0,0.0,V,,DRY DOCK COAL # 41,41,8.0,12.0,1022.0,1989-09-07 00:00:00,1956-06-12,1989-10-13 00:00:00,,,COAL - GENERIC,009\34009212350000.pdf,,0,0,pl_oil_gas,FR,SWINGLE DRILLING INC,CAMBRIAN MINING CO,34009200000000.0,OG_R,PO BOX 220 713 KEYSTONE ST,713 KEYSTONE ST,CROOKSVILLE,43731,,,,,,,2078494.523,559536.7174,0.6900267408173206,-1.4330897615460814,39.53562,1,36.0,21–40,0.0
35138,34029600000000.0,Plugged oil,Final Restoration,Drilled,COLUMBIANA,KNOX,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,1138.0,,40.8519145,-81.02600097,40.851971,-81.025812,,,0.0,0.0,V,,HOFER OTTO 11,11,,1.0,,,1909-01-01,2021-08-26 00:00:00,,,,029\34029610210000.pdf,,0,0,pl_oil,FR,HISTORIC OWNER,HOFER OTTO,34029600000000.0,OG_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,2021-11-23 00:00:00,,,Traditional Plugged,2376424.337,1042201.394,0.7130013998792404,-1.4141671985019317,40.851971,1,,,0.0
64518,34063600000000.0,Plugged gas,Final Restoration,Drilled,HANCOCK,DELAWARE,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,895.0,,40.83000068,-83.57935099,40.830055,-83.57928,,,0.0,0.0,V,,ODOT PROJECT     1,1,,,600.0,,1900-01-02,2005-06-28 00:00:00,,,,nowellcard.htm,,0,0,pl_gas,FR,HISTORIC OWNER,ODOT PROJECT,34063600000000.0,OG_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,2005-09-22 00:00:00,,,,1669749.514,1032669.951,0.7126188935203733,-1.4587336224462462,40.830055,1,,,0.0
45096,34031600000000.0,,Plugged and Abandoned,Drilled,COSHOCTON,VIRGINIA,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,912.0,,40.19264342,-81.9914301,40.192714,-81.991288,,,,,V,,LAIDLAW WASTE SYSTEMS,SB-16,,,102.0,,1900-01-02,,,,,nowellcard.htm,,0,0,pl_stratigraphic,PA,HISTORIC OWNER,LAIDLAW WASTE SYSTEMS,34031600000000.0,ST_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,,,,,2110625.104,799058.4851,0.7014951946124202,-1.4310179335509163,,0,,,0.0
159301,34119300000000.0,Plugged gas,Final Restoration,Drilled,MUSKINGUM,NEWTON,MILLER KEN SUPPLY INC,"PO BOX 1086 WOOSTER, OH 44691",3302649146,930.0,20.0,39.88564555,-82.14372911,39.885713,-82.143594,,,0.0,0.0,V,,GEORGE J & ADELE C ELLIS # 7,7,400.0,0.0,3400.0,1987-11-16 00:00:00,1982-07-05,1987-12-09 00:00:00,CLINTON SAND,,CLINTON SAND,119\34119261250000.pdf,,0,0,pl_gas,FR,MILLER KEN SUPPLY INC,ELLIS G J & A C,34119300000000.0,OG_R,PO BOX 1086,,WOOSTER,44691,,,,1985.0,0/1987,,2068515.199,687018.2895,0.6961370163555051,-1.4336761747214588,39.885713,1,38.0,21–40,0.0
173768,34127200000000.0,Gas,Producing,Producing,PERRY,PLEASANT,Eco Power Crypto LLC,"4582 KINGWOOD DR  KINGWOOD, TX 77345",832-954-9711,985.0,,39.66221646,-82.12313833,39.662286,-82.123005,,,0.0,0.0,V,,WILSON THOMAS A     1,1,350.0,,3826.0,,1951-12-11,,CLINTON SAND,,BEREA SANDSTONE,127\34127215640000.pdf,,0,0,gas,PR,Eco Power Crypto LLC,LEWIS BERTHA,34127200000000.0,OG_R,4582 KINGWOOD DR,,KINGWOOD,77345,,,,2016.0,0/2022,,2074632.665,605657.5743,0.6922374795676517,-1.433316828881766,39.662286,1,,,31.0
67845,34063700000000.0,Plugged oil,Plugged and Abandoned,Drilled,HANCOCK,ORANGE,HISTORIC OWNER,"2045 Morse Rd., Bldg F-2 COLUMBUS, OH 43229",6148885080,857.0,,40.86739462,-83.8577754,40.867447,-83.857714,,,0.0,0.0,V,,,14,,,,,1900-01-02,,,,,nowellcard.htm,,0,0,pl_oil,PA,HISTORIC OWNER,,34063700000000.0,UN_R,"2045 Morse Rd., Bldg F-2",,COLUMBUS,43229,,,,,,,1592887.591,1047335.412,0.713271507034279,-1.4635932124957443,40.867447,1,,,0.0
174786,34127200000000.0,Plugged oil and gas,Final Restoration,Drilled,PERRY,CLAYTON,OXFORD OIL,"PO BOX 910 ZANESVILLE, OH 43702",7404524503,950.0,10.0,39.7406936,-82.23827781,39.740763,-82.238148,,,0.0,0.0,V,,BURLEYFRED I. # 1,1,300.0,0.0,3215.0,1974-01-22 00:00:00,1966-09-15,1974-03-15 00:00:00,CLINTON SAND,,CLINTON SAND,127\34127225890000.pdf,,0,0,pl_oil_gas,FR,OXFORD OIL,BURLEY FRED I,34127200000000.0,OG_R,PO BOX 910,,ZANESVILLE,43702,,,2003-04-11 00:00:00,,,,2042134.51,634128.0003,0.6936071616047393,-1.4353264533423895,39.740763,1,51.0,40+,0.0
132469,34111200000000.0,Expired permit,Permit Expired,,MONROE,FRANKLIN,NEIHART EXPL & DEV CO,"*** RT 7 RENO, OH",6143743541,996.0,24.0,39.72620722,-81.27339613,39.72628,-81.273232,,,0.0,0.0,V,,MAURICE RITCHIE     # 2,2,0.0,0.0,0.0,1981-07-07 00:00:00,,,,,,111\34111224650000.pdf,,0,0,ex_permit,EX,NEIHART EXPL & DEV CO,RITCHIE MAURICE,34111200000000.0,OG_R,*** RT 7,,RENO,,,,,,,,2313536.797,631089.5966,0.693354385569173,-1.4184854921372159,39.72628,1,44.0,40+,0.0
